Subject Descriptor,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,Continent
Implied PPP conversion rate,0.69,0.653,0.638,0.668,0.706,0.687,0.684,0.721,0.719,0.7,0.671,0.716,0.744,0.76,0.792,0.782,0.859,0.878,0.938,0.965,0.968,1.005,1.038,1.046,1.036,1.01,0.978,1.011,1.074,1.068,1.068,1.066,1.042,1.025,1.054,1.08,1.071,1.061,1.091,1.116,1.12,1.117,1.119,1.122,1.125,1.128,Oceania
Total investment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oceania
Gross national savings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oceania
"Inflation, average consumer prices",48.137,51.844,54.688,58.14,61.304,64.057,68.289,61.316,62.012,65.49,68.078,72.215,75.261,79.859,83.053,86.458,85.016,87.188,90.386,91.973,92.319,97.86,100.968,102.616,101.857,101.499,100.487,104.097,118.322,129.937,124.87,126.74,122.88,121.051,123.598,124.305,126.689,127.139,127.856,125.451,127.311,129.892,132.604,135.505,138.687,141.978,Oceania
"Inflation, average consumer prices",16.1,7.7,5.486,6.311,5.442,4.491,6.607,-10.211,1.135,5.609,3.951,6.077,4.217,6.109,4,4.1,-1.667,2.554,3.668,1.755,0.377,6.002,3.176,1.633,-0.74,-0.351,-0.997,3.593,13.665,9.816,-3.9,1.497,-3.046,-1.488,2.104,0.572,1.917,0.356,0.564,-1.881,1.483,2.027,2.088,2.187,2.348,2.373,Oceania
"Inflation, end of period consumer prices",,,,,,,,,62.221,65.711,68.308,72.459,75.515,80.128,83.333,86.75,85.304,87.468,91.603,91.996,92.946,100.051,100.881,102.165,101.489,100.847,103.953,103.991,129.195,127.507,125.055,124.019,119.269,120.261,124.008,124.793,125.727,128.868,127.407,125.92,127.389,129.866,132.804,135.766,139.016,142.231,Oceania
"Inflation, end of period consumer prices",,,,,,,,,,5.609,3.951,6.077,4.217,6.109,4,4.1,-1.667,2.538,4.726,0.43,1.033,7.643,0.83,1.273,-0.662,-0.633,3.08,0.037,24.237,-1.307,-1.923,-0.828,-3.83,0.832,3.116,0.633,0.748,2.499,-1.134,-1.167,1.167,1.945,2.262,2.23,2.394,2.313,Oceania
Six-month London interbank offered rate (LIBOR),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oceania
Volume of imports of goods and services,403.516,47.845,-6.045,-10.257,-6.678,-18.302,-10.141,138.908,-18.608,4.148,21.598,-12.867,30.114,-15.005,-18.645,26.863,-10.972,2.217,-7.287,15.482,4.282,4.629,16.885,-13.726,-4.356,28.619,-23.212,11.443,-0.929,-2.275,3.571,25.876,10.143,0.808,0.902,-3.945,6.851,-1.257,-17.059,-7.156,-3.235,9.698,1.114,2.058,1.734,2,Oceania
Volume of Imports of goods,-5.277,72.252,-5.335,-18.668,-1.727,-21.44,-10.682,161.202,-19.771,0.333,21.025,-12.509,43.047,-22.607,-16.991,30.633,-8.72,3.93,-8.501,17.505,3.874,1.02,13.941,-16.681,-1.629,23.468,-12.832,6.215,-2.503,-7.364,4.194,23.488,17.83,1.071,-4.989,-7.372,6.661,4.96,-16.044,-7.156,-3.235,9.698,1.114,2.058,1.734,2,Oceania
Volume of exports of goods and services,274.878,-37.117,-7.19,3.392,54.387,-32.926,6.193,-14.257,-19.84,-2.562,-14.627,14.205,-3.277,-1.414,-2.941,6.611,-32.467,47.253,-7.828,6.528,-31.287,31.447,27.844,-10.12,-30.194,22.116,-27.691,75.333,-10.198,-4.651,-4.551,32.355,2.811,-15.657,3.269,7.076,28.165,-15.057,-38.241,-8.162,-20.813,31.453,4.284,4.524,3.918,3.951,Oceania
Volume of exports of goods,-83.637,107.614,-36.81,57.435,188.394,-62.913,-66.207,416.499,-4.67,-3.826,-38.201,83.486,-20.365,-17.85,25.402,34.8,-39.968,17.827,4.364,32.271,-58.827,13.55,-0.702,-28.272,-24.343,61.648,-38.988,224.297,-24.756,-19.344,-11.266,69.199,-10.859,-20.789,35.928,-7.37,4.958,30.191,-47.648,-11.534,-20.688,29.914,3.367,3.401,2.56,2.474,Oceania
Unemployment rate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oceania
Employment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oceania
Population,0.058,0.06,0.062,0.061,0.062,0.064,0.065,0.067,0.069,0.071,0.072,0.073,0.074,0.075,0.077,0.078,0.079,0.08,0.082,0.083,0.084,0.086,0.088,0.089,0.091,0.093,0.095,0.097,0.099,0.101,0.103,0.104,0.106,0.107,0.109,0.11,0.112,0.113,0.115,0.117,0.119,0.121,0.123,0.125,0.127,0.129,Oceania
General government revenue,,,,,,,,,0.024,0.03,0.047,0.046,0.056,0.053,0.051,0.06,0.05,0.083,0.107,0.091,0.085,0.114,0.138,0.112,0.12,0.128,0.104,0.107,0.111,0.119,0.123,0.12,0.157,0.188,0.303,0.34,0.331,0.367,0.356,0.354,0.275,0.287,0.308,0.32,0.336,0.351,Oceania
General government revenue,,,,,,,,,41.68,53.176,85.77,74.824,85.315,77.106,67.685,79.01,58.657,91.658,101.936,84.755,73.204,93.182,103.539,80.397,85.974,87.009,71.178,67.455,66.237,69.974,72,68.267,85.388,97.8,151.8,149.408,137.907,150.119,135.326,126.169,97.524,96.925,100.033,99.976,101.02,101.421,Oceania
General government total expenditure,,,,,,,,,,,0.049,0.043,0.055,0.048,0.05,0.064,0.071,0.077,0.089,0.093,0.085,0.127,0.133,0.125,0.147,0.143,0.123,0.128,0.139,0.134,0.137,0.154,0.169,0.164,0.225,0.232,0.275,0.268,0.361,0.312,0.313,0.315,0.305,0.315,0.328,0.341,Oceania
General government total expenditure,,,,,,,,,,,89.696,71.451,84.306,69.252,66.778,85.312,83.321,84.597,85.293,86.78,73.236,104.389,100.301,89.912,105.497,97.122,83.683,80.433,82.736,79.039,80.263,87.594,91.712,85.413,113.036,102.025,114.752,109.741,137.005,111.147,110.768,106.468,99.105,98.51,98.458,98.389,Oceania
General government net lending/borrowing,,,,,,,,,,,-0.002,0.002,0.001,0.005,0.001,-0.005,-0.021,0.006,0.017,-0.002,--,-0.014,0.004,-0.013,-0.027,-0.015,-0.018,-0.021,-0.028,-0.015,-0.014,-0.034,-0.012,0.024,0.077,0.108,0.056,0.099,-0.004,0.042,-0.037,-0.028,0.003,0.005,0.009,0.01,Oceania
General government net lending/borrowing,,,,,,,,,,,-3.926,3.373,1.009,7.853,0.907,-6.302,-24.663,7.062,16.642,-2.024,-0.032,-11.207,3.238,-9.515,-19.523,-10.113,-12.505,-12.978,-16.499,-9.065,-8.262,-19.327,-6.324,12.387,38.764,47.384,23.155,40.378,-1.68,15.022,-13.244,-9.542,0.928,1.467,2.562,3.032,Oceania
General government structural balance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oceania
General government structural balance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oceania
General government primary net lending/borrowing,,,,,,,,,,,-0.002,0.002,0.001,0.005,0.001,-0.005,-0.021,0.007,0.018,-0.002,--,-0.014,0.004,-0.013,-0.027,-0.015,-0.018,-0.02,-0.028,-0.015,-0.014,-0.034,-0.012,0.024,0.078,0.108,0.056,0.099,-0.004,0.043,-0.037,-0.027,0.004,0.006,0.011,0.013,Oceania
General government primary net lending/borrowing,,,,,,,,,,,-3.864,3.445,1.076,7.916,0.985,-6.156,-24.525,7.56,16.834,-1.856,0.124,-11.094,3.379,-9.402,-19.411,-10,-12.399,-12.874,-16.406,-8.938,-8.169,-19.245,-6.324,12.431,38.902,47.537,23.289,40.555,-1.439,15.266,-12.995,-9.183,1.383,2.01,3.189,3.735,Oceania
General government net debt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oceania
General government net debt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oceania
General government gross debt,,,,,,,,,0.001,0.002,0.004,0.004,0.006,0.009,0.011,0.011,0.011,0.012,0.012,0.014,0.014,0.019,0.016,0.016,0.017,0.015,0.017,0.016,0.022,0.016,0.014,0.014,0.014,0.016,0.017,0.045,0.053,0.052,0.052,0.051,0.05,0.074,0.097,0.12,0.144,0.168,Oceania
General government gross debt,,,,,,,,,2.107,4.27,6.558,7.341,9.354,13.693,15.038,15.034,13.42,12.785,11.193,13.239,11.851,15.396,11.776,11.248,11.984,10.534,11.34,9.925,12.893,9.345,8.466,8.017,7.436,8.3,8.698,19.899,21.941,21.423,19.708,18.344,17.722,24.952,31.521,37.6,43.223,48.452,Oceania
Current account balance,0.011,0.009,0.005,0.004,0.01,0.006,0.011,0.006,0.001,0.003,-0.006,0.009,-0.009,-0.001,--,-0.006,-0.017,0.004,0.016,0.002,-0.002,-0.006,-0.009,-0.008,-0.007,-0.029,-0.01,-0.003,-0.005,-0.017,--,-0.017,0.004,-0.01,0.056,0.056,0.019,0.071,0.076,0.062,-0.003,0.006,0.016,0.02,0.025,0.03,Oceania
Current account balance,27.239,20.588,11.498,10.348,23.095,17.668,33.853,17.533,1.612,5.928,-14.613,18.295,-17.961,-1.653,0.769,-10.681,-24.789,6.185,24.336,2.629,-3.65,-9.846,-11.806,-9.292,-7.292,-25.433,-8.774,-1.887,-3.649,-12.33,0.124,-9.515,1.902,-5.456,31.143,32.812,10.77,37.627,38.742,32.047,-1.574,2.812,6.989,8.434,10.223,11.536,Oceania
GDP,2171.776,2510.037,2843.067,3300.581,3734.148,4113.525,4625.428,5290.534,6073.921,6691.993,7553.405,8565.315,9207.381,9971.954,11017.469,12206.532,13283.694,14212.673,13537.337,15199.123,16805.708,17870.016,19442.367,20321.075,21865.914,23468.609,25318.396,27367.743,28523.246,28819.823,30984.877,32546.752,33557.124,34244.314,35324.502,37907.502,39567.016,41001.064,43001.287,44573.058,44292.194,46533.639,48812.931,51116.59,53448.889,55810.018,Asia
Implied PPP conversion rate,479.793,511.023,512.368,516.825,520.88,525.033,540.237,552.667,571.868,583.668,619.366,653.867,689.021,715.172,757.352,793.906,811.678,829.862,857.355,834.758,824.849,835.223,847.154,860.404,864.054,846.681,819.976,817.841,824.912,848.213,861.396,854.586,854.887,869.081,871.878,857.368,858.993,871.696,855.369,832.616,828.437,817.801,814.651,811.193,809.873,811.691,Asia
Total investment,34.031,32.16,31.967,32.477,32.298,32.27,32.614,32.586,34.816,36.716,39.553,41.234,38.738,37.654,38.513,38.95,39.423,37.189,27.779,31.013,32.894,31.603,31.093,32.28,32.55,32.508,32.993,33.097,33.667,29.4,32.552,33.319,31.317,29.885,29.79,29.529,30.143,32.288,31.487,31.348,31.343,30.477,30.335,30.081,29.941,29.886,Asia
Gross national savings,23.486,23.265,24.781,28.382,30.403,30.12,34.845,38.419,41.208,38.241,38.563,38.804,37.922,38.084,37.479,37.144,35.415,35.291,38.243,35.392,34.661,31.998,31.741,33.889,36.242,33.814,33.192,33.991,33.834,32.906,34.995,34.647,35.133,35.521,35.384,36.701,36.671,36.921,35.978,34.99,34.653,33.925,34.119,34.065,34.168,34.189,Asia
"Inflation, average consumer prices",22.101,26.82,28.748,29.732,30.408,31.156,32.013,32.989,35.346,37.361,40.564,44.35,47.106,49.367,52.46,54.811,57.51,60.063,64.576,65.101,66.572,69.279,71.193,73.695,76.341,78.444,80.202,82.235,86.079,88.452,91.051,94.717,96.789,98.048,99.298,99.999,100.971,102.934,104.453,104.853,105.377,106.324,107.494,108.891,110.525,112.735,Asia
"Inflation, average consumer prices",28.697,21.352,7.191,3.421,2.274,2.46,2.75,3.048,7.146,5.701,8.574,9.333,6.213,4.801,6.266,4.481,4.925,4.439,7.513,0.813,2.259,4.066,2.763,3.515,3.591,2.754,2.242,2.535,4.674,2.757,2.939,4.026,2.187,1.301,1.275,0.706,0.972,1.944,1.476,0.383,0.5,0.899,1.1,1.3,1.5,2,Asia
"Inflation, end of period consumer prices",24.534,27.894,29.242,29.816,30.546,31.467,31.904,33.835,36.265,38.104,41.662,45.516,47.545,50.303,53.104,55.628,58.368,62.205,64.672,65.548,67.37,69.501,72.096,74.561,76.824,78.836,80.483,83.386,86.837,89.269,91.977,95.802,97.168,98.279,99.098,100.22,101.56,102.99,104.35,105.12,105.54,106.385,107.555,108.953,110.588,112.799,Asia
"Inflation, end of period consumer prices",32.202,13.695,4.833,1.963,2.448,3.015,1.389,6.053,7.182,5.071,9.338,9.251,4.458,5.801,5.568,4.753,4.926,6.574,3.966,1.355,2.78,3.163,3.734,3.419,3.035,2.619,2.089,3.607,4.139,2.801,3.034,4.159,1.426,1.143,0.833,1.132,1.337,1.408,1.321,0.738,0.4,0.8,1.1,1.3,1.5,2,Asia
Six-month London interbank offered rate (LIBOR),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Asia
Volume of imports of goods and services,-5.323,4.673,1.514,6.884,4.32,-2.042,33.202,18.094,13.223,15.818,13.435,19.984,4.817,6.744,23.936,22.03,14.136,2.362,-24.219,24.635,22.093,-3.462,14.891,10.479,12.084,7.753,12.472,11.383,3.263,-6.908,17.51,14.512,2.568,1.64,1.263,2.113,5.175,8.857,1.713,-0.635,-6.19,3.482,4.617,3.914,3.808,3.817,Asia
Volume of Imports of goods,-9,2.006,1.812,6.601,4.957,-2.337,35.114,19.243,11.702,13.428,12.436,20.054,3.785,7.528,23.038,20.74,13.363,1.435,-26.993,29.465,23.103,-4.372,14.865,11.656,10.743,6.749,12.705,10.244,3.093,-7.24,19.286,17.726,2.124,1.218,0.283,0.673,3.913,8.849,2.019,-0.75,-2.603,3.975,4.617,3.914,3.808,3.817,Asia
Volume of exports of goods and services,8.576,13.864,2.048,16.459,12.62,1.294,35.025,24.436,10.675,-3.666,5.088,12.222,12.124,10.062,18.098,22.956,10.19,18.714,14.565,12.27,16.985,-1.799,12.813,13.58,21.005,7.899,12.045,12.604,7.602,-0.457,13.028,15.417,5.793,3.82,2.096,0.234,2.372,2.48,3.976,1.718,-7.787,3.548,4.612,3.819,3.571,3.421,Asia
Volume of exports of goods,11.4,13.299,-1.295,15.227,14.142,-0.602,37.6,25.862,11.633,-4.134,4.369,13.669,11.895,8.818,17.567,22.713,8.922,19.091,16.239,15.513,18.906,-1.9,15.748,16.17,20.673,9.24,13.291,12.301,6.04,0.208,13.803,17.225,5.026,3.919,1.117,-0.303,1.982,4.408,3.267,0.546,-6.444,3.709,4.612,3.819,3.571,3.421,Asia
Unemployment rate,5.2,4.5,4.133,4.117,3.85,4.025,3.842,3.108,2.525,2.583,2.458,2.45,2.525,2.9,2.475,2.067,2.058,2.617,6.95,6.55,4.425,4,3.258,3.55,3.658,3.75,3.475,3.258,3.175,3.633,3.708,3.408,3.225,3.1,3.492,3.592,3.675,3.683,3.833,3.783,4.075,4.075,4.075,4,3.9,3.8,Asia
Employment,13.52,13.856,14.379,14.505,14.429,14.97,15.505,16.354,16.869,17.561,18.085,18.649,19.009,19.235,19.848,20.414,20.853,21.214,19.937,20.291,21.173,21.614,22.232,22.222,22.682,22.831,23.188,23.561,23.775,23.688,24.033,24.527,24.955,25.299,25.897,26.178,26.409,26.725,26.822,27.123,26.99,27.515,,,,,Asia
Population,38.124,38.723,39.326,39.91,40.406,40.806,41.214,41.622,42.031,42.449,42.869,43.296,43.748,44.195,44.642,45.093,45.525,45.954,46.287,46.617,47.008,47.37,47.645,47.892,48.083,48.185,48.438,48.684,49.055,49.308,49.554,49.937,50.2,50.429,50.747,51.015,51.218,51.362,51.607,51.709,51.781,51.822,51.846,51.868,51.888,51.905,Asia
General government revenue,,,,,,,,,,,,,,,,70862,82971,90740,95349.442,106006.343,134647.239,141863.849,155444.451,168216.315,175250.012,188543.6,206084.2,236006.246,246608.524,245476.799,265779.722,287403.636,304677.45,308023.65,315003.15,335911,367888,400659,435558,441148,434801.872,451298.227,472214.751,493015.841,515807.782,539984.873,Asia
General government revenue,,,,,,,,,,,,,,,,16.216,16.904,16.742,17.749,17.923,20.663,20.065,19.808,20.089,19.291,19.692,20.494,21.659,21.366,20.366,20.095,20.692,21.157,20.524,20.155,20.26,21.134,21.826,22.946,22.988,22.884,22.884,22.904,22.923,22.965,22.965,Asia
General government total expenditure,,,,,,,,,,,,,,,,61095,71299,77765,89276.571,98984.558,108258.653,124132.679,129187.041,155120.506,174436.552,180663.2,195700.8,213396.122,229789.559,245273.347,246379.731,264870.529,283219,298734,308797,327262,339236,360492,386907,433993,496260.394,497244.505,527036.232,550833.828,572842.131,599692.553,Asia
General government total expenditure,,,,,,,,,,,,,,,,13.981,14.526,14.348,16.618,16.736,16.613,17.557,16.462,18.525,19.202,18.869,19.461,19.584,19.909,20.349,18.628,19.07,19.666,19.905,19.758,19.738,19.488,19.638,20.383,22.615,26.119,25.214,25.563,25.611,25.504,25.504,Asia
General government net lending/borrowing,,,,,,,,,,,,,,,,9767,11672,12975,6072.871,7021.785,26388.586,17731.17,26257.41,13095.809,813.46,7880.4,10383.4,22610.124,16818.965,203.452,19399.991,22533.107,21458.45,9289.65,6206.15,8649,28652,40167,48651,7155,-61458.522,-45946.278,-54821.481,-57817.988,-57034.35,-59707.68,Asia
General government net lending/borrowing,,,,,,,,,,,,,,,,2.235,2.378,2.394,1.13,1.187,4.05,2.508,3.346,1.564,0.09,0.823,1.033,2.075,1.457,0.017,1.467,1.622,1.49,0.619,0.397,0.522,1.646,2.188,2.563,0.373,-3.235,-2.33,-2.659,-2.688,-2.539,-2.539,Asia
General government structural balance,,,,,,,,,,,,,,,,8612.779,9259.85,9725.488,12850.872,8717.987,26106.509,19354.632,24229.151,13562.111,262.271,7330.172,8294.557,16918.114,14094.67,5073.711,16110.916,19237.146,21747.664,9785.762,7484.772,12052.914,31943.223,42687.543,51221.108,11988.129,-19263.416,-20688.319,-35389.2,-45902.043,-47505.763,-51577.906,Asia
General government structural balance,,,,,,,,,,,,,,,,2.024,1.943,1.835,2.196,1.426,3.983,2.71,3.128,1.616,0.029,0.764,0.827,1.574,1.224,0.41,1.222,1.393,1.506,0.649,0.476,0.721,1.82,2.314,2.688,0.619,-0.976,-1.019,-1.687,-2.116,-2.108,-2.193,Asia
General government primary net lending/borrowing,,,,,,,,,,,,,,,,11710,13636,15233,9471.521,12905.619,33276.879,24928.883,33103.249,19693.387,9523.502,17974.5,22533.5,14257.135,11453.434,-8166.808,9613.105,12424.45,14935.75,2641.05,-503.563,3155.927,23651.328,33843.183,40776.266,-1280.543,-69719.102,-51987.16,-58839.86,-59637.7,-56580.851,-56983.612,Asia
General government primary net lending/borrowing,,,,,,,,,,,,,,,,2.68,2.778,2.811,1.763,2.182,5.107,3.526,4.218,2.352,1.048,1.877,2.241,1.308,0.992,-0.678,0.727,0.895,1.037,0.176,-0.032,0.19,1.359,1.844,2.148,-0.067,-3.669,-2.636,-2.854,-2.773,-2.519,-2.423,Asia
General government net debt,,,,,,,,,,,,,,,,,,,,,,,,164330,197622.308,234429.984,266300.295,279617.397,297084.24,345666.945,369777.082,438137.996,33355,86823,117503.556,157333.38,169451.022,176334.564,181808.551,220308.956,341345.218,429841.599,522782.946,619613.746,714774.521,811584.148,Asia
General government net debt,,,,,,,,,,,,,,,,,,,,,,,,19.625,21.754,24.485,26.482,25.661,25.739,28.678,27.958,31.545,2.316,5.785,7.518,9.489,9.734,9.606,9.578,11.48,17.966,21.796,25.357,28.809,31.824,34.516,Asia
General government gross debt,,,,,,,,,,,26432.992,29810.113,33356.406,35372.264,37079.17,38366.081,39659.452,54334.56,76932.25,96614.459,108705.566,121815.723,133730,165825,203687,247972,282783,298902,311046,361409,390037.5,459200,504600,565600,620600,676200,717500,735200,759700,804547.189,919787.21,1030229.643,1150451.83,1274389.349,1398568.621,1527429.242,Asia
General government gross debt,,,,,,,,,,,13.18,12.294,12.019,11.223,9.954,8.78,8.08,10.025,14.321,16.335,16.682,17.229,17.041,19.803,22.422,25.899,28.121,27.431,26.949,29.984,29.49,33.061,35.039,37.686,39.707,40.784,41.217,40.05,40.022,41.924,48.41,52.241,55.801,59.254,62.268,64.96,Asia
Current account balance,-6.896,-6.487,-5.631,-3.594,-1.847,-2.178,2.607,8.631,12.758,3.766,-2.804,-8.033,-2.901,1.688,-4.793,-10.23,-24.461,-10.812,40.113,21.785,10.181,2.165,4.066,11.308,29.29,12.209,2.095,10.473,1.753,33.088,27.951,16.638,48.791,77.259,83.03,105.119,97.924,75.231,77.467,59.971,52.532,57.727,66.722,73.727,82.041,87.358,Asia
Current account balance,-10.545,-8.895,-7.186,-4.095,-1.895,-2.15,2.231,5.834,6.392,1.525,-0.99,-2.43,-0.816,0.43,-1.034,-1.806,-4.009,-1.898,10.464,4.379,1.767,0.395,0.648,1.609,3.693,1.306,0.199,0.893,0.167,3.506,2.443,1.328,3.816,5.636,5.594,7.172,6.528,4.633,4.491,3.642,3.311,3.448,3.784,3.984,4.227,4.303,Asia
GDP,,,,,,,,,,,,,,,,,,,,,4864.564,5521.2,5456.257,5775.449,5749.134,6080.022,6386.747,7001.273,7366.66,7567.449,7785.873,8272.936,8437.68,8793.248,9082.389,9666.188,10028.427,10486.488,11183.379,11791.184,11016.753,11888.196,12497.387,13154.766,13873.67,14652.396,Europe
Implied PPP conversion rate,,,,,,,,,,,,,,,,,,,,,0.316,0.345,0.345,0.334,0.311,0.299,0.292,0.291,0.307,0.308,0.319,0.327,0.33,0.333,0.34,0.339,0.339,0.34,0.335,0.335,0.329,0.325,0.323,0.322,0.32,0.319,Europe
Total investment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Europe
Gross national savings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.297,13.926,10.717,10.766,17.736,14.018,15.074,14.253,18.01,16.487,17.721,16.971,19.433,19.862,20.303,20.581,20.658,Europe
"Inflation, average consumer prices",,,,,,,,,,,,,,,,,,,,,67.966,75.893,78.598,78.834,78.002,76.915,77.393,80.766,88.318,86.19,89.189,95.733,98.104,99.838,100.266,99.728,100,101.488,102.558,105.303,106.095,107.416,109.276,111.268,113.399,115.57,Europe
"Inflation, average consumer prices",,,,,,,,,,,,,,,,,,,,,,11.662,3.565,0.3,-1.055,-1.394,0.622,4.358,9.35,-2.41,3.481,7.336,2.477,1.767,0.429,-0.537,0.273,1.488,1.054,2.677,0.753,1.245,1.731,1.823,1.915,1.915,Europe
"Inflation, end of period consumer prices",,,,,,,,,,,,,,,,,,,,,,,78.876,79.265,76.309,76.853,77.709,85.876,86.265,86.343,92.022,95.289,98.789,99.291,98.854,98.722,100,100.496,103.403,104.621,106.211,107.434,109.392,109.677,110.067,110.393,Europe
"Inflation, end of period consumer prices",,,,,,,,,,,,,,,,,,,,,,,,0.493,-3.729,0.714,1.113,10.511,0.453,0.09,6.577,3.55,3.673,0.508,-0.441,-0.134,1.295,0.496,2.893,1.178,1.52,1.152,1.822,0.261,0.356,0.296,Europe
Six-month London interbank offered rate (LIBOR),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Europe
Volume of imports of goods and services,,,,,,,,,,,,,,,,,,,,,,-17.701,-4.9,13.839,23.504,4.302,6.391,17.897,17.966,-0.2,3.807,8.611,-16.333,-1.248,7.192,-14.66,6.119,7.723,16.393,-3.33,-2.565,13.892,5.092,4.74,4.49,3.545,Europe
Volume of Imports of goods,,,,,,,,,,,,,,,,,,,,,,-18.305,-7.422,5.883,15.149,5.554,7.665,23.254,22.451,-2.517,0.912,10.042,-15.596,-0.049,3.483,-15.131,7.375,7.931,12.631,-3.602,-2.235,13.596,5.134,4.782,4.475,3.489,Europe
Volume of exports of goods and services,,,,,,,,,,,,,,,,,,,,,,60.185,-32.959,-5.026,123.604,8.36,33.041,35.362,7.256,6.441,6.656,31.238,-1.691,-17.145,-7.211,-25.406,2.101,21.086,16.529,0.215,-14.944,26.729,7.46,6.003,6.209,5.85,Europe
Volume of exports of goods,,,,,,,,,,,,,,,,,,,,,,-50.475,168.803,53.94,105.814,7.235,81.294,69.302,24.096,-23.878,47.066,6.666,-15.385,-13.618,-3.874,-27.055,-13.655,23.219,3.976,-2.025,-4.25,17.738,6.871,5.098,5.268,4.732,Europe
Unemployment rate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.9,30,35.3,32.9,27.5,30.5,29.6,25.7,,,,,,,Europe
Employment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Europe
Population,,,,,,,,,,,,,,,,,,,,,1.472,1.472,1.511,1.537,1.631,1.651,1.674,1.699,1.72,1.747,1.775,1.78,1.816,1.821,1.805,1.772,1.784,1.799,1.793,1.8,1.807,1.814,1.822,1.829,1.836,1.844,Europe
General government revenue,,,,,,,,,,,,,,,,,,,,,0.128,0.321,0.5,0.59,0.611,0.628,0.72,0.898,0.943,1.151,1.164,1.305,1.322,1.313,1.335,1.457,1.616,1.7,1.775,1.905,1.722,1.877,1.971,2.077,2.197,2.328,Europe
General government revenue,,,,,,,,,,,,,,,,,,,,,5.673,11.47,17.547,19.919,20.969,20.919,23.062,25.947,24.291,28.289,26.443,27.104,26.129,24.642,23.973,25.081,26.627,26.509,26.385,26.759,26.298,26.766,26.771,26.813,26.915,27.034,Europe
General government total expenditure,,,,,,,,,,,,,,,,,,,,,0.204,0.239,0.402,0.543,0.749,0.698,0.635,0.661,0.942,1.093,1.205,1.352,1.439,1.486,1.476,1.568,1.719,1.789,1.967,2.103,2.183,2.278,2.2,2.289,2.426,2.569,Europe
General government total expenditure,,,,,,,,,,,,,,,,,,,,,9.015,8.548,14.102,18.329,25.701,23.259,20.35,19.089,24.255,26.853,27.367,28.085,28.447,27.898,26.508,26.999,28.316,27.888,29.237,29.534,33.336,32.479,29.872,29.553,29.723,29.833,Europe
General government net lending/borrowing,,,,,,,,,,,,,,,,,,,,,-0.076,0.082,0.098,0.047,-0.138,-0.07,0.085,0.237,0.001,0.058,-0.041,-0.047,-0.117,-0.173,-0.141,-0.111,-0.103,-0.088,-0.192,-0.198,-0.461,-0.401,-0.228,-0.212,-0.229,-0.241,Europe
General government net lending/borrowing,,,,,,,,,,,,,,,,,,,,,-3.341,2.922,3.445,1.59,-4.732,-2.341,2.712,6.858,0.036,1.436,-0.924,-0.981,-2.318,-3.256,-2.535,-1.918,-1.689,-1.379,-2.852,-2.775,-7.037,-5.713,-3.101,-2.74,-2.808,-2.799,Europe
General government structural balance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Europe
General government structural balance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Europe
General government primary net lending/borrowing,,,,,,,,,,,,,,,,,,,,,,,0.098,0.047,-0.138,-0.07,0.085,0.237,0.001,0.058,-0.031,-0.038,-0.107,-0.162,-0.129,-0.095,-0.09,-0.074,-0.177,-0.179,-0.429,-0.362,-0.189,-0.168,-0.181,-0.19,Europe
General government primary net lending/borrowing,,,,,,,,,,,,,,,,,,,,,,,3.445,1.59,-4.732,-2.341,2.712,6.858,0.036,1.436,-0.712,-0.784,-2.119,-3.042,-2.314,-1.642,-1.477,-1.16,-2.633,-2.513,-6.548,-5.166,-2.569,-2.17,-2.215,-2.207,Europe
General government net debt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Europe
General government net debt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Europe
